time,open,high,low,close,volume,ticker
2018-01-02,986.05,996.18,984.34,995.77,173125200,VNINDEX
2018-01-03,999.86,1010.21,998.41,1005.67,212755680,VNINDEX
2018-01-04,1009.37,1019.75,1009.0,1019.75,235427392,VNINDEX
2018-01-05,1020.34,1020.6,1010.65,1012.65,267882448,VNINDEX
2018-01-08,1011.36,1022.9,1004.89,1022.9,236387888,VNINDEX
2018-01-09,1027.14,1033.56,1017.86,1033.56,290482976,VNINDEX
2018-01-10,1034.64,1045.63,1033.01,1038.11,341600992,VNINDEX
2018-01-11,1037.03,1049.73,1031.13,1048.17,288550688,VNINDEX
2018-01-12,1050.17,1057.88,1046.38,1050.11,320836064,VNINDEX
2018-01-15,1049.91,1063.47,1043.15,1063.47,256567312,VNINDEX
2018-01-16,1059.36,1065.39,1052.43,1062.96,294792512,VNINDEX
2018-01-17,1061.98,1064.77,1034.69,1034.69,294301600,VNINDEX
2018-01-18,1028.76,1050.25,1020.01,1050.25,256859552,VNINDEX
2018-01-19,1054.33,1067.21,1053.37,1062.07,279706016,VNINDEX
2018-01-22,1066.86,1088.05,1066.61,1087.42,246215504,VNINDEX
2018-01-25,1098.44,1117.08,1098.44,1104.57,445940480,VNINDEX
2018-01-26,1119.78,1123.83,1103.06,1115.64,261062656,VNINDEX
2018-01-29,1121.78,1130.1,1109.8,1109.8,263321712,VNINDEX
2018-01-30,1099.98,1110.56,1092.44,1110.56,287489728,VNINDEX
2018-01-31,1112.23,1128.1,1104.98,1110.36,312880960,VNINDEX
2018-02-01,1111.74,1111.74,1090.25,1099.67,233072176,VNINDEX
2018-02-02,1098.66,1105.04,1091.06,1105.04,172601920,VNINDEX
2018-02-05,1089.62,1090.88,1048.71,1048.71,248154720,VNINDEX
2018-02-06,1026.08,1026.08,983.06,1011.6,364437536,VNINDEX
2018-02-07,1040.53,1048.54,1034.13,1040.55,208749264,VNINDEX
2018-02-08,1031.46,1039.61,1023.25,1023.25,161025056,VNINDEX
2018-02-09,991.09,1003.94,973.78,1003.94,199516816,VNINDEX
2018-02-12,1011.64,1041.79,1011.64,1041.79,162098576,VNINDEX
2018-02-13,1053.31,1060.48,1052.86,1059.73,157958688,VNINDEX
2018-02-21,1073.33,1092.65,1070.43,1087.15,165043216,VNINDEX
2018-02-22,1080.77,1091.62,1074.27,1076.03,185011632,VNINDEX
2018-02-23,1086.81,1102.85,1081.31,1102.85,177049328,VNINDEX
2018-02-26,1115.9,1127.57,1114.06,1114.53,221574608,VNINDEX
2018-02-27,1124.03,1124.03,1106.77,1119.61,175305264,VNINDEX
2018-02-28,1110.3,1129.89,1109.89,1121.54,213347392,VNINDEX
2018-03-01,1118.13,1129.3,1110.92,1115.79,207156256,VNINDEX
2018-03-02,1103.16,1121.91,1103.16,1121.21,188043280,VNINDEX
2018-03-05,1129.92,1132.69,1093.48,1093.48,252795984,VNINDEX
2018-03-06,1093.48,1120.29,1091.67,1120.29,210241824,VNINDEX
2018-03-07,1121.99,1126.67,1103.29,1112.26,239942048,VNINDEX
2018-03-08,1112.24,1126.35,1111.76,1124.15,186579760,VNINDEX
2018-03-09,1128.73,1135.02,1119.18,1123.41,205512352,VNINDEX
2018-03-12,1135.37,1135.48,1123.98,1126.29,197146784,VNINDEX
2018-03-13,1126.53,1133.31,1118.49,1133.31,208112912,VNINDEX
2018-03-14,1135.99,1142.88,1134.55,1138.09,222436336,VNINDEX
2018-03-15,1134.51,1140.74,1129.66,1138.76,207105856,VNINDEX
2018-03-16,1144.54,1152.52,1140.56,1150.19,260196896,VNINDEX
2018-03-19,1158.16,1165.63,1155.82,1159.22,221555296,VNINDEX
2018-03-20,1154.48,1166.33,1154.48,1159.39,189756080,VNINDEX
2018-03-21,1166.51,1172.31,1163.91,1169.36,212812976,VNINDEX
2018-03-22,1175.22,1180.44,1169.48,1172.36,215497536,VNINDEX
2018-03-23,1154.25,1157.2,1138.53,1153.59,237107536,VNINDEX
2018-03-26,1150.51,1176.95,1150.51,1171.22,175879680,VNINDEX
2018-03-27,1187.42,1187.42,1169.58,1171.73,201305792,VNINDEX
2018-03-28,1168.87,1179.18,1165.71,1172.24,165131520,VNINDEX
2018-03-29,1174.73,1176.45,1164.12,1167.03,150321424,VNINDEX
2018-03-30,1169.29,1175.36,1158.49,1174.46,150318960,VNINDEX
2018-04-02,1180.26,1196.61,1179.73,1196.61,221037536,VNINDEX
2018-04-03,1197.0,1199.93,1185.83,1188.29,217626832,VNINDEX
2018-04-04,1194.26,1200.71,1189.46,1191.54,194006928,VNINDEX
2018-04-05,1197.76,1199.15,1186.75,1193.17,186567264,VNINDEX
2018-04-06,1194.15,1202.59,1194.15,1199.96,217719536,VNINDEX
2018-04-09,1202.44,1207.45,1197.44,1204.33,222920656,VNINDEX
2018-04-10,1207.62,1211.34,1192.22,1198.12,246566640,VNINDEX
2018-04-11,1201.51,1202.46,1167.11,1167.11,245785472,VNINDEX
2018-04-12,1162.48,1173.02,1153.64,1173.02,168958128,VNINDEX
2018-04-13,1178.57,1181.52,1153.93,1157.14,156898432,VNINDEX
2018-04-16,1156.54,1159.45,1141.81,1148.49,138666640,VNINDEX
2018-04-17,1149.02,1156.7,1139.33,1153.28,139854496,VNINDEX
2018-04-18,1157.67,1160.32,1138.42,1138.53,152174144,VNINDEX
2018-04-19,1137.99,1137.99,1094.63,1094.63,183841728,VNINDEX
2018-04-20,1095.84,1119.86,1078.01,1119.86,142780272,VNINDEX
2018-04-23,1124.33,1127.24,1076.78,1076.78,194901680,VNINDEX
2018-04-24,1064.86,1084.89,1048.68,1080.74,166004864,VNINDEX
2018-04-26,1082.52,1082.52,1039.35,1044.86,184919920,VNINDEX
2018-04-27,1037.36,1054.94,1031.89,1050.26,152853920,VNINDEX
2018-05-02,1053.26,1053.52,1024.75,1029.08,151711856,VNINDEX
2018-05-03,1018.47,1027.38,1003.79,1026.46,170959328,VNINDEX
2018-05-04,1032.12,1037.02,1022.1,1026.8,125862192,VNINDEX
2018-05-07,1034.64,1062.26,1028.79,1062.26,122128312,VNINDEX
2018-05-08,1061.12,1072.28,1057.24,1060.45,131146464,VNINDEX
2018-05-09,1058.33,1069.8,1051.79,1056.97,125896536,VNINDEX
2018-05-10,1058.22,1059.34,1025.75,1028.87,143626080,VNINDEX
2018-05-11,1026.34,1044.85,1014.3,1044.85,122737904,VNINDEX
2018-05-14,1051.69,1066.98,1042.31,1066.98,112785904,VNINDEX
2018-05-15,1072.25,1084.2,1071.02,1073.5,125232776,VNINDEX
2018-05-16,1070.34,1072.46,1052.18,1054.62,121268144,VNINDEX
2018-05-17,1055.21,1057.84,1030.64,1030.64,107387048,VNINDEX
2018-05-18,1033.33,1040.84,1013.57,1040.54,118092352,VNINDEX
2018-05-21,1043.82,1043.82,1014.98,1014.98,104031008,VNINDEX
2018-05-22,1006.18,1015.97,976.73,985.91,158542816,VNINDEX
2018-05-23,974.8,995.25,965.92,988.94,126755696,VNINDEX
2018-05-24,992.24,995.82,974.14,985.92,104772832,VNINDEX
2018-05-25,981.47,987.56,963.9,963.9,122933856,VNINDEX
2018-05-28,938.86,951.34,927.47,931.75,191197120,VNINDEX
2018-05-29,925.89,958.96,916.0,952.18,155301296,VNINDEX
2018-05-30,953.41,953.41,932.26,948.5,117512288,VNINDEX
2018-05-31,947.96,975.51,945.29,971.25,140721184,VNINDEX
2018-06-01,973.67,995.06,973.56,992.87,160913600,VNINDEX
2018-06-04,994.48,1013.78,992.01,1013.78,146895440,VNINDEX
2018-06-05,1013.59,1025.26,1011.59,1022.74,173096672,VNINDEX
2018-06-06,1020.97,1034.5,1012.98,1034.5,147456496,VNINDEX
2018-06-07,1038.93,1043.71,1030.79,1036.69,151829232,VNINDEX
2018-06-08,1032.59,1039.07,1026.94,1039.01,124180352,VNINDEX
2018-06-11,1033.55,1045.6,1029.19,1039.02,133836656,VNINDEX
2018-06-12,1033.55,1033.55,1005.1,1020.76,169945712,VNINDEX
2018-06-13,1017.93,1030.53,1017.93,1030.53,94519776,VNINDEX
2018-06-14,1030.53,1033.46,1015.72,1015.72,135233072,VNINDEX
2018-06-15,1012.71,1018.95,1006.75,1016.51,144865808,VNINDEX
2018-06-18,1015.56,1018.98,986.88,987.34,145591936,VNINDEX
2018-06-19,972.38,972.62,941.57,962.16,203659504,VNINDEX
2018-06-20,957.37,980.95,955.61,980.95,119730864,VNINDEX
2018-06-21,979.57,979.57,966.28,969.4,94237832,VNINDEX
2018-06-22,963.89,983.57,959.91,983.17,102746576,VNINDEX
2018-06-25,997.34,997.34,988.98,990.52,118181312,VNINDEX
2018-06-26,977.78,983.78,970.75,983.02,114881016,VNINDEX
2018-06-27,981.44,984.46,968.91,968.91,126510720,VNINDEX
2018-06-28,964.76,976.12,954.46,957.35,130318208,VNINDEX
2018-06-29,955.64,962.93,950.48,960.78,110043120,VNINDEX
2018-07-02,955.18,956.78,932.66,947.15,142222736,VNINDEX
2018-07-03,945.87,946.16,906.01,906.01,161389344,VNINDEX
2018-07-04,904.34,914.99,890.83,914.99,115604640,VNINDEX
2018-07-05,914.48,921.85,892.67,899.4,127434584,VNINDEX
2018-07-06,891.16,921.75,884.99,917.51,141624528,VNINDEX
